room_id,room_name,sender_id,chat,time
-1001181166784,Whyred - OFFICIAL,662133896,"Hey D, Welcome to Whyred - OFFICIAL Telegram Group! Please don't forget to read the rules! 🙏 and don't forget to click the ""Am not a Robot"" button!",2020-04-07 13:18:27+00:00
-1001181166784,Whyred - OFFICIAL,571956857,@Evolutionxwhyred,2020-04-07 13:18:23+00:00
-1001181166784,Whyred - OFFICIAL,861791770,I dont know...,2020-04-07 13:17:43+00:00
-1001181166784,Whyred - OFFICIAL,1260888066,How is possible flashing recovery cause error on camera?,2020-04-07 13:17:30+00:00
-1001181166784,Whyred - OFFICIAL,1009500282,@EvolutionX,2020-04-07 13:15:55+00:00
-1001181166784,Whyred - OFFICIAL,1009500282,Whyred,2020-04-07 13:15:24+00:00
-1001181166784,Whyred - OFFICIAL,1049156972,Evo x group link?,2020-04-07 13:15:15+00:00
-1001181166784,Whyred - OFFICIAL,991548409,miui 11 caf rom using,2020-04-07 13:14:30+00:00
-1001181166784,Whyred - OFFICIAL,861791770,Camera not opening after flashing latest pb,2020-04-07 13:13:35+00:00
-1001181166784,Whyred - OFFICIAL,502805847,Anyone with OneUi debloated link,2020-04-07 13:03:08+00:00
-1001181166784,Whyred - OFFICIAL,650615029,anyone can tell me bout module magisk fd ai and gpu turbo ? both have same function or not ?,2020-04-07 13:03:05+00:00
-1001181166784,Whyred - OFFICIAL,502805847,Oneui link??,2020-04-07 12:51:05+00:00
-1001181166784,Whyred - OFFICIAL,774181428,Available firmware downloads for Redmi Note 5/Note 5 Pro (whyred),2020-04-07 12:43:13+00:00
-1001181166784,Whyred - OFFICIAL,960228635,/firmware,2020-04-07 12:43:13+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Just type /firmware,2020-04-07 12:43:07+00:00
-1001181166784,Whyred - OFFICIAL,960228635,#firmware,2020-04-07 12:43:07+00:00
-1001181166784,Whyred - OFFICIAL,662133896,gcam,2020-04-07 12:34:19+00:00
-1001181166784,Whyred - OFFICIAL,975092691,#gcam,2020-04-07 12:34:19+00:00
-1001181166784,Whyred - OFFICIAL,777072502,,2020-04-07 12:22:00+00:00
-1001181166784,Whyred - OFFICIAL,777072502,"Hello guys. 
What is the latest EU version stable for whyred?",2020-04-07 12:21:41+00:00
-1001181166784,Whyred - OFFICIAL,774181428,Available firmware downloads for Redmi Note 5/Note 5 Pro (whyred),2020-04-07 12:11:49+00:00
-1001181166784,Whyred - OFFICIAL,727977148,/firmware,2020-04-07 12:11:48+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Just type /firmware,2020-04-07 12:11:40+00:00
-1001181166784,Whyred - OFFICIAL,727977148,#firmware,2020-04-07 12:11:38+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Use #notes next time :),2020-04-07 12:11:29+00:00
-1001181166784,Whyred - OFFICIAL,727977148,/notes,2020-04-07 12:11:28+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Thanks,2020-04-07 12:05:26+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Good Job bro👍👍👍,2020-04-07 12:05:20+00:00
-1001181166784,Whyred - OFFICIAL,952739730,,2020-04-07 12:03:52+00:00
-1001181166784,Whyred - OFFICIAL,952739730,,2020-04-07 12:03:33+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Bro MIUI 11.0.3 stable,2020-04-07 12:02:38+00:00
-1001181166784,Whyred - OFFICIAL,952739730,Which rom,2020-04-07 12:02:00+00:00
-1001181166784,Whyred - OFFICIAL,952739730,Wait,2020-04-07 12:01:26+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Agni????,2020-04-07 12:00:46+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Link please,2020-04-07 11:59:49+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Link,2020-04-07 11:59:37+00:00
-1001181166784,Whyred - OFFICIAL,952739730,Agni,2020-04-07 11:59:18+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Which is the Best gaming kernel ??? Redmi Note 5 pro,2020-04-07 11:58:51+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Available kernels 👇🏻,2020-04-07 11:54:18+00:00
-1001181166784,Whyred - OFFICIAL,100421178,#kernels,2020-04-07 11:54:17+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Available kernels 👇🏻,2020-04-07 11:22:09+00:00
-1001181166784,Whyred - OFFICIAL,473417943,#kernels,2020-04-07 11:22:09+00:00
-1001181166784,Whyred - OFFICIAL,1119891190,/admin@maestro_guard_bot,2020-04-07 11:19:26+00:00
-1001181166784,Whyred - OFFICIAL,1119891190,Best gaming kernal,2020-04-07 11:18:39+00:00
-1001181166784,Whyred - OFFICIAL,1107130718,Can you make a screenshot of the apps,2020-04-07 10:58:54+00:00
-1001181166784,Whyred - OFFICIAL,709563008,@whyredupdates,2020-04-07 10:55:51+00:00
-1001181166784,Whyred - OFFICIAL,1082189166,What this to save battery at rom havoc 2.9 pie,2020-04-07 10:47:18+00:00
-1001181166784,Whyred - OFFICIAL,1082189166,Hello,2020-04-07 10:46:50+00:00
-1001181166784,Whyred - OFFICIAL,1050294117,"Bro my phone is redmi note 5 ai

Plz suggestion rom for this device for pubg",2020-04-07 10:46:28+00:00
-1001181166784,Whyred - OFFICIAL,662133896,@WhyredUpdates,2020-04-07 10:42:28+00:00
-1001181166784,Whyred - OFFICIAL,1254861732,#roms,2020-04-07 10:42:28+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Best rom of all time 😍,2020-04-07 10:42:08+00:00
-1001181166784,Whyred - OFFICIAL,516936375,#best,2020-04-07 10:42:08+00:00
-1001181166784,Whyred - OFFICIAL,1050294117,"My phone is redmi note 5 ai,,, which rom is better for pubg?",2020-04-07 10:41:39+00:00
-1001181166784,Whyred - OFFICIAL,558144200,tell issue 1st,2020-04-07 10:39:48+00:00
-1001181166784,Whyred - OFFICIAL,1050294117,Bro i need help,2020-04-07 10:38:58+00:00
-1001181166784,Whyred - OFFICIAL,989433072,llol,2020-04-07 10:38:43+00:00
-1001181166784,Whyred - OFFICIAL,558144200,he can't see bcoz of corona i guess that's why he asking anyone here,2020-04-07 10:38:31+00:00
-1001181166784,Whyred - OFFICIAL,989433072,7k,2020-04-07 10:38:10+00:00
-1001181166784,Whyred - OFFICIAL,558144200,u can't see how many members here are?,2020-04-07 10:37:54+00:00
-1001181166784,Whyred - OFFICIAL,1050294117,Anyone here?,2020-04-07 10:37:35+00:00
-1001181166784,Whyred - OFFICIAL,1050294117,Hlw,2020-04-07 10:36:59+00:00
-1001181166784,Whyred - OFFICIAL,100421178,/kernels,2020-04-07 10:10:29+00:00
-1001181166784,Whyred - OFFICIAL,745958979,Ok tq sir,2020-04-07 10:09:37+00:00
-1001181166784,Whyred - OFFICIAL,571956857,That's for twolip anyway,2020-04-07 10:09:37+00:00
-1001181166784,Whyred - OFFICIAL,100421178,Agni kernel latest version?,2020-04-07 10:09:28+00:00
-1001181166784,Whyred - OFFICIAL,571956857,OwO,2020-04-07 10:08:13+00:00
-1001181166784,Whyred - OFFICIAL,745958979,@sreekfreak995,2020-04-07 10:07:33+00:00
-1001181166784,Whyred - OFFICIAL,745958979,DE latest version is XVII not XVIII,2020-04-07 10:06:31+00:00
-1001181166784,Whyred - OFFICIAL,745958979,Sorry dude thats for tulip,2020-04-07 10:06:03+00:00
-1001181166784,Whyred - OFFICIAL,,,2020-04-07 10:04:10+00:00
-1001181166784,Whyred - OFFICIAL,879950163,,2020-04-07 10:00:23+00:00
-1001181166784,Whyred - OFFICIAL,276644727,Thank,2020-04-07 09:09:18+00:00
-1001181166784,Whyred - OFFICIAL,276644727,Yes bro,2020-04-07 09:09:15+00:00
-1001181166784,Whyred - OFFICIAL,662133896,Use #notes next time :),2020-04-07 09:05:21+00:00
-1001181166784,Whyred - OFFICIAL,729078272,/ViPER4Android@HarukaAyaBot,2020-04-07 09:02:36+00:00
-1001181166784,Whyred - OFFICIAL,662133896,"- Support Magisk 20.3
- Add feature descriptions (long press effect to show)
- Theme updates
- Support scoped storage

Release note: Starting from Android 10, external files used by V4A (presets, vdc and irs files) must now be placed in /storage/emulated/0/Android/data/com.pittvandewitt.viperfx/files/ instead of /ViPER4Android. The folder structure stays the same",2020-04-07 09:01:20+00:00
-1001181166784,Whyred - OFFICIAL,847871656,#viper,2020-04-07 09:01:19+00:00
-1001181166784,Whyred - OFFICIAL,662133896,notes,2020-04-07 09:01:08+00:00
-1001181166784,Whyred - OFFICIAL,847871656,#notes,2020-04-07 09:01:08+00:00
-1001181166784,Whyred - OFFICIAL,766706985,Use old cam blobs,2020-04-07 08:46:45+00:00
-1001181166784,Whyred - OFFICIAL,878524927,Send this,2020-04-07 08:44:36+00:00
